mmsi,imo,pre_label,confidence_tier,region,evidence_notes,source_urls,analyst_id,evidence_timestamp
563105200,9234567,suspected-positive,high,singapore,Vessel repeatedly dark near Karimata Strait during peak tanker season. AIS gaps 6–18h coincide with known STS coordinates. Cargo declared as 'general cargo' but draft readings suggest crude.,https://www.maritime-executive.com/article/dark-fleet-tracker,analyst-a,2025-11-01T06:00:00+00:00
563207811,9312044,suspected-positive,high,singapore,Flag changed from Palau to Cameroon within 60 days. Ownership transferred to a shell entity in Fujairah. Three prior AIS blackouts near Riau Islands.,https://www.subterfugemap.org/vessel/9312044,analyst-a,2025-10-15T08:30:00+00:00
563314500,9445678,suspected-positive,medium,singapore,STS candidate detected x4 in 90 days at 1.1°N 103.7°E. Vessel name changed from OCEAN STAR to PROSPERITY. No confirmed cargo declaration.,https://www.reuters.com/investigations/dark-fleet,analyst-b,2025-09-22T10:00:00+00:00
563421033,9501234,suspected-positive,medium,singapore,Loitering 18h+ near East Johor Strait on two occasions. Owner listed as same address as three OFAC-proximate entities.,https://www.opensanctions.org/entities/NK-XY789,analyst-b,2025-10-03T14:00:00+00:00
563533700,9612300,suspected-positive,medium,singapore,Draft inconsistency at Singapore anchorage suggests illicit bunkering. Vessel operates under P&I cover withdrawn for sanctions exposure.,https://www.tankeroperator.com/p-i-sanctions-withdrawal,analyst-a,2025-11-10T09:00:00+00:00
563609122,9721500,suspected-positive,medium,singapore,Position jump 3.2nm in 12 min near Pedra Branca — transponder manipulation suspected. Subsequent routing to Dumai without port call.,analyst-b,analyst-b,2025-10-28T07:30:00+00:00
563712088,9834500,suspected-positive,weak,singapore,One AIS gap >8h near Karimata. Vessel linked through manager to a probable entity. Insufficient corroboration.,https://www.windward.ai/dark-fleet,analyst-c,2025-09-05T11:00:00+00:00
563800455,9905678,suspected-positive,weak,singapore,Flag from Mongolia (land-locked) — classic flag-of-convenience anomaly. No other strong indicators yet.,analyst-c,analyst-c,2025-10-19T16:00:00+00:00
563912300,9123456,uncertain,medium,singapore,Multiple AIS gaps but vessel is a legitimate bunker supplier with Port Authority records. Needs secondary verification.,analyst-a,analyst-a,2025-11-05T08:00:00+00:00
564034500,9234511,uncertain,medium,singapore,Owner linked two degrees from OFAC-proximate entity via nominee director. Distance may reflect coincidental corporate structure.,analyst-b,analyst-b,2025-10-12T12:00:00+00:00
564145678,9345622,uncertain,weak,singapore,Single AIS gap 7h. Vessel currently under Singapore MPA inspection — gap may be legitimate.,analyst-c,analyst-c,2025-10-30T14:00:00+00:00
564256789,9456733,uncertain,weak,singapore,Cargo mismatch flagged but charterer has provided documentation. Under review.,analyst-a,analyst-a,2025-11-08T10:30:00+00:00
564367890,9567844,analyst-negative,high,singapore,Vessel operates Singapore coastal ferry route. AIS gaps explained by port layover schedule. Cleared after MPA verification.,https://www.mpa.gov.sg/vessel-registry,analyst-a,2025-09-15T09:00:00+00:00
564478901,9678955,analyst-negative,high,singapore,Registered with verified major shipping company. Corporate ownership fully transparent. No evasion indicators.,https://www.equasis.org/EquasisWeb/vessel/9678955,analyst-b,2025-10-01T11:00:00+00:00
564589012,9789066,analyst-negative,medium,singapore,AIS gap of 9h explained by equipment failure; Lloyd's survey report on file. One-time event.,analyst-b,analyst-b,2025-10-22T09:30:00+00:00
564690123,9890177,analyst-negative,medium,singapore,Flag changed due to legitimate reflagging for charter contract. Documented with authority notification.,analyst-c,analyst-c,2025-11-03T15:00:00+00:00
470113456,9023456,suspected-positive,high,middleeast,Vessel conducted dark transit through Strait of Hormuz on four occasions Q3 2025. Routing matches Iranian crude export pattern.,https://www.tankertracker.com/iran-crude,analyst-a,2025-10-10T07:00:00+00:00
470224567,9134567,suspected-positive,high,middleeast,Ship-to-ship transfer detected at 26.5°N 56.2°E — outside declared anchorage. Cargo: suspected crude. Draft delta 2.8m post-transfer.,https://www.kpler.com/sts-events,analyst-b,2025-10-20T08:00:00+00:00
470335678,9245678,suspected-positive,high,middleeast,Three ownership changes in 18 months. Current owner: Marshall Islands shell with no commercial history. AIS manipulation x5.,https://www.opensanctions.org/entities/IR-AB1234,analyst-a,2025-11-01T09:00:00+00:00
470446789,9356789,suspected-positive,medium,middleeast,Vessel visited Bandar Abbas twice without declaring port call in AIS. Router pattern matches NIOC-linked fleet.,https://www.tankertracker.com/bandar-abbas,analyst-b,2025-10-05T10:00:00+00:00
470557890,9467890,suspected-positive,medium,middleeast,AIS gap 22h in Larak Island anchorage zone — long-established Iranian STS location. No legitimate cargo recorded.,https://www.windward.ai/iran-dark-fleet,analyst-a,2025-10-18T13:00:00+00:00
470668901,9578901,suspected-positive,medium,middleeast,Flag: Cameroon. Owner: Fujairah entity sharing address with known Iran-sanctions-related intermediary.,analyst-b,analyst-b,2025-09-28T08:00:00+00:00
470779012,9689012,suspected-positive,medium,middleeast,Gross tonnage declared inconsistently across three AIS records. Possible identity falsification.,analyst-a,analyst-a,2025-11-05T07:30:00+00:00
470880123,9790123,suspected-positive,weak,middleeast,Single STS candidate event. Limited corroboration; included as early indicator.,analyst-c,analyst-c,2025-10-25T09:00:00+00:00
470991234,9801234,suspected-positive,weak,middleeast,Linked through two corporate hops to an Iran-adjacent entity. Chain length reduces confidence.,analyst-c,analyst-c,2025-10-30T11:00:00+00:00
422112345,9912345,suspected-positive,high,middleeast,MMSI prefix 422 (Iran) with AIS records showing port Kharg Island. Cargo marked LPG but draft profile inconsistent.,https://www.tankertracker.com/kharg,analyst-a,2025-10-12T06:00:00+00:00
422223456,9023467,suspected-positive,high,middleeast,Direct relation to OFAC-designated entity via shared registered agent. Three dark transits Gulf of Oman.,https://www.opensanctions.org/entities/IR-CD5678,analyst-b,2025-10-22T07:00:00+00:00
422334567,9134578,uncertain,medium,middleeast,AIS gaps near UAE but vessel is a legitimate VLCC in drydock per Lloyd's report. Under review.,analyst-a,analyst-a,2025-11-01T08:00:00+00:00
422445678,9245689,uncertain,medium,middleeast,Flag Comoros but vessel operates legitimate feeder route. Owner has clean history. Inconclusive on STS event.,analyst-b,analyst-b,2025-10-14T14:00:00+00:00
422556789,9356700,uncertain,weak,middleeast,One AIS gap in Khor Fakkan anchorage. Potentially legitimate bunkering layover. Insufficient evidence.,analyst-c,analyst-c,2025-10-20T10:00:00+00:00
422667890,9467811,analyst-negative,high,middleeast,Abu Dhabi National Oil Company contracted vessel with full ADNOC ownership transparency. Cleared.,https://www.adnoc.ae/fleet,analyst-a,2025-09-10T09:00:00+00:00
422778901,9578922,analyst-negative,high,middleeast,National carrier with full government ownership disclosure. AIS gaps attributed to UAE coast guard inspection.,https://www.uaemc.gov.ae,analyst-b,2025-09-25T11:00:00+00:00
422889012,9689033,analyst-negative,medium,middleeast,LPG tanker under long-term charter to verified European energy company. All AIS gaps coincide with port layovers.,analyst-a,analyst-a,2025-10-08T12:00:00+00:00
422990123,9790044,analyst-negative,medium,middleeast,Flag change from Bahamas to Marshall Islands for routine charter compliance. Documented with Flag State authority.,analyst-b,analyst-b,2025-10-28T13:00:00+00:00
247101234,9801055,suspected-positive,high,europe,Russian crude cargo detected via satellite — vessel claimed ballast voyage. Dark period coincides with Primorsk loading window.,https://www.kpler.com/russia-crude-exports,analyst-a,2025-10-15T07:00:00+00:00
247212345,9912066,suspected-positive,high,europe,Flag: Palau. Owner: anonymous Seychelles entity formed 3 weeks after EU Russia sanctions. AIS manipulation x3 in Baltic.,https://www.subterfugemap.org/vessel/9912066,analyst-b,2025-10-25T08:00:00+00:00
247323456,9023077,suspected-positive,high,europe,Vessel suspected of carrying Russian oil above price cap. Charterer listed as unknown entity; P&I lapsed.,https://www.reuters.com/oil-price-cap-evasion,analyst-a,2025-11-02T06:00:00+00:00
247434567,9134088,suspected-positive,medium,europe,AIS gap 16h near Gotland — typical dark ship corridor for Baltic crude. Draft differential suggests loading event.,analyst-b,analyst-b,2025-10-08T09:30:00+00:00
247545678,9245099,suspected-positive,medium,europe,Three ownership changes in 12 months. Current owner: Marshall Islands; no vessel history. Pattern consistent with shadow fleet acquisition.,analyst-a,analyst-a,2025-10-20T10:00:00+00:00
247656789,9356100,suspected-positive,medium,europe,Loaded in Ust-Luga area (detected via AIS trace) then went dark for 14h. Certified cargo: grain but port context inconsistent.,analyst-b,analyst-b,2025-11-05T08:00:00+00:00
247767890,9467211,suspected-positive,medium,europe,Flag: Cook Islands. Vessel positioned in Nakhodka STS zone x2. Linked via nominee director to Russia-proximate entity.,analyst-a,analyst-a,2025-10-30T07:00:00+00:00
247878901,9578322,suspected-positive,weak,europe,One AIS gap near Bornholm. Vessel has legitimate Baltic feeder charter. Single indicator — insufficient alone.,analyst-c,analyst-c,2025-10-15T14:00:00+00:00
247989012,9689433,suspected-positive,weak,europe,Owner shares address with entity that appeared in leaked documents alongside two known price-cap evaders.,analyst-c,analyst-c,2025-11-01T12:00:00+00:00
255100123,9790544,suspected-positive,high,europe,Malta-flagged vessel with AIS manipulation x6 in 90 days. Detected in Primorsk crude loading zone via satellite.,https://www.kpler.com/russia-dark-fleet,analyst-a,2025-10-05T08:00:00+00:00
255211234,9801655,suspected-positive,high,europe,Repeated dark transits North Sea during price-cap monitoring period. Owner: anonymous Cyprus entity formed post-sanctions.,https://www.opensanctions.org/entities/RU-XZ9876,analyst-b,2025-10-18T09:00:00+00:00
255322345,9912766,suspected-positive,medium,europe,STS candidate event detected off Norwegian EEZ boundary — unusual area for crude transfer. No declared cargo.,analyst-a,analyst-a,2025-10-28T07:00:00+00:00
255433456,9023877,uncertain,medium,europe,AIS gap near Danish Straits but vessel is a verified LNG tanker on Equinor charter. Investigating.,analyst-b,analyst-b,2025-10-12T13:00:00+00:00
255544567,9134988,uncertain,medium,europe,Ownership chain opaque but vessel has clean P&I and classification. No AIS anomalies in last 60 days.,analyst-a,analyst-a,2025-11-03T09:30:00+00:00
255655678,9246099,uncertain,weak,europe,Single AIS gap North Sea — likely GPS shadow near offshore platform. Under monitoring.,analyst-c,analyst-c,2025-10-22T11:00:00+00:00
255766789,9357200,analyst-negative,high,europe,Major European oil company vessel with full ownership transparency. AIS gap caused by port authority VHF-only corridor.,https://www.equasis.org/EquasisWeb/vessel/9357200,analyst-a,2025-09-20T10:00:00+00:00
255877890,9468311,analyst-negative,high,europe,NATO-contracted vessel conducting legitimate supply mission. AIS transponder switched off per operational security rules.,analyst-b,analyst-b,2025-09-30T12:00:00+00:00
255988901,9579422,analyst-negative,medium,europe,Flag change from Cyprus to Malta for P&I compliance — documented with Maritime Malta authority.,analyst-a,analyst-a,2025-10-10T09:00:00+00:00
256099012,9680533,analyst-negative,medium,europe,Norwegian flagged tanker under spot charter to Equinor. Ownership and cargo fully disclosed. No indicators.,analyst-b,analyst-b,2025-10-25T10:00:00+00:00
563999001,9999901,suspected-positive,high,singapore,Vessel re-identified after name change. Previously flagged under alias GOLDEN WAVE with two OFAC-adjacent STS contacts.,https://www.maritimeintelligence.org/vessel-reidentification,analyst-a,2025-11-12T07:00:00+00:00
470999002,9999902,suspected-positive,high,middleeast,Conducting dark ship-to-ship operations off UAE coast with confirmed dark-fleet member. Satellite imagery evidence.,https://www.satellite-aiswatch.com/sts-evidence,analyst-a,2025-11-10T08:00:00+00:00
247999003,9999903,suspected-positive,high,europe,Carrying Russian crude detected via VIIRS satellite thermal signal. AIS position falsified — vessel near Primorsk not Baltic.,https://www.kpler.com/russia-crude-tracker,analyst-b,2025-11-08T09:00:00+00:00
